,ADA,AION,ALGO,ATOM,BAND,BAT,BCH,BNB,BNT,BTC,BTS,BTT,BUSD,CTXC,CVC,DASH,DATA,DENT,DOGE,ENJ,EOS,ETC,ETH,FTT,FUN,GTO,HBAR,ICX,IOST,IOTA,IOTX,LINK,LSK,LTC,MATIC,MITH,NANO,NEO,NULS,OMG,ONT,QTUM,RLC,STX,THETA,TRX,TUSD,VET,WAN,WAVES,WTC,XLM,XMR,XRP,XTZ,ZEC,ZIL,ZRX
2020-04-22,0.03664,0.0664,0.1872,2.388,0.6467,0.1655,232.94,15.7104,0.1976,7125.14,0.01702,0.0002257,0.9987,0.0875,0.01903,80.8,0.04455,0.0001184,0.0019957,0.11295,2.6224,5.3867,182.7,2.718,0.001755,0.00495,0.03279,0.2372,0.003178,0.156,0.002394,3.6786,1.0243,41.8,0.01277,0.00355,0.5646,7.534,0.195,0.5777,0.4136,1.367,0.2956,0.0945,0.09174,0.01298,0.999,0.003898,0.1333,0.998,0.2884,0.05498,56.95,0.18804,2.337,45.53,0.00422,0.1711
2020-04-23,0.04088,0.0709,0.1952,2.427,0.6201,0.1674,237.4,16.034,0.2074,7482.39,0.0174,0.0002316,0.9991,0.0889,0.0197,81.26,0.04416,0.0001171,0.0020512,0.12095,2.6811,5.6028,185.51,2.779,0.001752,0.00509,0.03282,0.2497,0.003336,0.159,0.002423,3.7533,1.0313,42.98,0.01428,0.00354,0.5735,7.854,0.2031,0.5956,0.4257,1.389,0.3257,0.0994,0.10075,0.01361,0.9992,0.003952,0.1385,1.0074,0.2852,0.06208,59.27,0.1926,2.498,44.46,0.00433,0.1753
2020-04-24,0.04165,0.0856,0.209,2.748,0.7139,0.1768,237.9,15.9319,0.2121,7505.0,0.01749,0.0002396,0.9992,0.0898,0.02036,81.37,0.04627,0.0001207,0.0020832,0.13049,2.7068,5.5931,187.59,2.78,0.00189,0.00517,0.03308,0.265,0.003587,0.1677,0.00249,3.7735,1.0477,44.53,0.01468,0.0037,0.585,8.07,0.211,0.6169,0.4506,1.426,0.3169,0.1068,0.10163,0.01392,0.9992,0.004085,0.1525,1.0107,0.2918,0.06116,60.68,0.19325,2.7148,44.08,0.00465,0.1855
2020-04-25,0.04222,0.0824,0.2108,2.871,0.9548,0.1826,238.07,16.2283,0.2187,7538.67,0.01752,0.0002442,0.9991,0.0898,0.02072,85.78,0.04755,0.0001209,0.0021245,0.14889,2.7024,5.75,194.21,2.831,0.001901,0.00529,0.03319,0.2722,0.003527,0.17,0.002517,3.7865,1.0537,44.38,0.01505,0.00374,0.5863,8.428,0.2111,0.6316,0.4609,1.482,0.3381,0.1058,0.10681,0.01396,0.9992,0.004216,0.1599,1.0221,0.3004,0.06177,60.55,0.19418,2.8586,44.7,0.00479,0.1846
2020-04-26,0.04593,0.0818,0.2257,2.808,0.8527,0.184,246.36,16.3588,0.2036,7693.1,0.01806,0.0002493,0.9988,0.0898,0.02078,84.12,0.04732,0.0001243,0.0024076,0.14149,2.7375,6.2159,197.38,2.856,0.002,0.00532,0.03429,0.2989,0.003577,0.1764,0.002603,3.721,1.0688,44.52,0.01563,0.00384,0.6025,8.631,0.2118,0.6604,0.4932,1.532,0.336,0.1105,0.11209,0.01426,0.9987,0.00448,0.1593,1.0522,0.2958,0.06188,61.33,0.19618,2.7637,44.59,0.00507,0.1986
2020-04-27,0.04648,0.0853,0.2168,2.767,0.869,0.1811,242.75,16.4229,0.2008,7774.62,0.01793,0.0002414,0.9984,0.0902,0.0204,82.75,0.04816,0.0001242,0.0023456,0.13679,2.743,6.103,196.34,2.887,0.00194,0.00531,0.03394,0.2907,0.003538,0.174,0.002717,3.6383,1.1709,44.46,0.01544,0.00391,0.5925,8.426,0.2068,0.6585,0.4734,1.505,0.3294,0.1084,0.10775,0.01452,0.9984,0.004356,0.1558,1.055,0.2875,0.06719,62.36,0.19747,2.7419,44.46,0.00503,0.2066
2020-04-28,0.04679,0.0822,0.2154,2.793,0.8835,0.1835,241.14,16.34,0.206,7738.98,0.01859,0.0002489,0.9986,0.0892,0.02049,82.21,0.04838,0.0001227,0.002327,0.13898,2.7614,6.1423,196.24,2.886,0.001936,0.00531,0.03361,0.2839,0.00352,0.1738,0.002615,3.6413,1.2759,45.69,0.01571,0.0039,0.5978,8.457,0.2129,0.6682,0.4874,1.527,0.354,0.106,0.109,0.01528,0.9982,0.004287,0.1624,1.0534,0.2849,0.06855,62.07,0.21416,2.7432,44.62,0.00498,0.2041
2020-04-29,0.05146,0.0859,0.2302,2.929,0.8688,0.1938,257.77,17.3667,0.214,8778.57,0.02016,0.000267,0.9992,0.0913,0.02158,85.36,0.08067,0.0001286,0.0024912,0.14303,3.0059,6.7433,215.36,3.141,0.002074,0.00558,0.03508,0.299,0.003922,0.1859,0.002655,3.8879,1.2925,48.81,0.01642,0.00396,0.6347,9.207,0.2194,0.7687,0.517,1.633,0.3627,0.1097,0.11645,0.01624,0.9991,0.004766,0.1653,1.099,0.297,0.07216,66.32,0.22648,2.9353,47.07,0.00537,0.2132
2020-04-30,0.04752,0.0817,0.2093,2.734,1.0316,0.1836,250.05,16.9542,0.2047,8620.0,0.01938,0.0002566,0.9995,0.0894,0.02054,80.74,0.08069,0.0001223,0.002433,0.13668,2.822,6.4418,206.08,3.093,0.001956,0.00559,0.03529,0.2786,0.00366,0.1765,0.002562,3.7025,1.2095,46.33,0.01543,0.00377,0.6242,8.897,0.2199,0.7392,0.4886,1.536,0.3379,0.1031,0.12033,0.01519,0.9992,0.004353,0.1615,1.0552,0.2835,0.06756,62.28,0.21135,2.7526,44.76,0.00553,0.1982
2020-05-01,0.05091,0.0935,0.2139,2.828,1.2591,0.1874,254.79,17.466,0.2099,8826.96,0.02123,0.0002738,0.9997,0.0911,0.02301,82.95,0.07898,0.0001276,0.0024749,0.14096,2.8731,6.647,212.02,3.189,0.002077,0.00562,0.04224,0.2841,0.003791,0.1816,0.002598,3.7571,1.2292,47.07,0.01585,0.00393,0.6298,9.011,0.2268,0.7536,0.501,1.585,0.3424,0.1102,0.12735,0.01581,0.9996,0.004437,0.1643,1.0751,0.2927,0.0729,63.45,0.21786,2.7975,45.73,0.00595,0.2136
